term,tfidf_weight
analytics,0.13013341277758816
analyst,0.11625314845402018
analysis,0.11154922114641704
insights,0.10783586781271519
time,0.10616914992234196
solutions,0.10341994953904567
sql,0.10122626405041515
engineering,0.10054949957065656
tools,0.09988493677676864
support,0.0983713531813242
product,0.09830071502706374
benefits,0.09655788045884924
learning,0.09554876190427224
science,0.09481994546238559
strong,0.09405406440716517
job,0.09137815449496783
working,0.09129765152733259
company,0.09091814746042469
ability,0.0895315054782694
including,0.08886474155572847
ai,0.08784488829512012
teams,0.08648767337339293
technical,0.08518746402016891
years,0.08517917857980992
development,0.08491088821486112
information,0.08378224235553668
build,0.0799308451194949
management,0.07911886991494682
people,0.0778676273327287
python,0.07733830407614202
models,0.07539211021106436
new,0.07375226069429769
status,0.07348539283477827
design,0.07332149184104139
related,0.07306684336292017
develop,0.07129622286494794
help,0.07099816894112278
opportunity,0.0686013524434158
meta,0.06646119091553021
world,0.06607897710272462
